" ","score","status","future"
"Index",69.65,,72.21
"Food Provision",12.61,11.52,13.69
". Fisheries",13.33,12.17,14.48
". Mariculture",16.58,16.32,16.85
"Artisanal Fishing Opportunity",77.06,69.21,84.92
"Natural Products",58.22,53.45,62.98
"Carbon Storage",78.94,74.22,83.65
"Coastal Protection",44.51,41.93,47.1
"Tourism & Recreation",76.47,73.75,79.19
"Coastal Livelihoods & Economies",92.8,99.77,85.82
". Livelihoods",99.81,99.63,100
". Economies",91.66,99.87,83.45
"Sense of Place",91.76,91.47,92.54
". Iconic Species",71.66,68.98,74.35
". Lasting Special Places",100,100,100
"Clean Waters",70.85,65.37,75.45
"Biodiversity",93.67,89.51,97.83
". Habitats",93.6,89.66,97.55
". Species",93.74,89.37,98.1
