" ","score","status","future","trend","pressures","resilience"
"Index",,,,,,
"Food Provision",,13,,0,,
". Fisheries",,13,,0,26.32,
". Mariculture",,40.99,,0.16,28.79,
"Artisanal Fishing Opportunity",,69.83,,0.08,25.51,
"Natural Products",,91.64,,0.53,23.64,
"Carbon Storage",,50,,0,25.4,
"Coastal Protection",,25.01,,0.02,42.43,
"Tourism & Recreation",,58.53,,0.08,52.5,
"Coastal Livelihoods & Economies",,98.22,,-0.31,,
". Livelihoods",,,,0.38,22.8,
". Economies",,98.22,,-1,24.89,
"Sense of Place",,100,,0,,
". Iconic Species",,,,,28.15,
". Lasting Special Places",,100,,0,35.6,
"Clean Waters",,78.27,,-0.1,66.79,
"Biodiversity",,85.23,,-0.04,,
". Habitats",,80.63,,0,23.64,
". Species",,89.83,,-0.07,29.57,
